L001000.spe,"250,01","5,76",1,"0,018133","-0,0037","0,0096","0,142","30,830,439","16,4",36,129,18,10,155,45,512,4144,8,433,37,84,284,23393,0,53,0,178,175,184,371,213,294,460,1588,128,1165,0,23,0,7,441,543,0,0,62,27597,7612
L001001.spe,"250,21","5,76",1,"0,018132","-0,0038","0,009","0,142","29,654,888","15,4",46,124,18,62,171,55,498,4503,0,428,13,0,248,21079,11,22,0,137,0,161,334,201,364,429,1610,70,1416,0,0,0,0,484,540,0,24,0,26978,7336
L001002.spe,"250,41","5,76",1,"0,018131","-0,0037","0,0088","0,142","29,085,298","14,54",44,101,36,0,139,58,492,4204,0,348,0,8,239,20406,13,13,0,85,58,210,206,197,357,505,1524,128,1350,0,29,0,0,396,531,0,0,0,25772,7346
L001003.spe,"250,61","5,76",1,"0,018134","-0,0036","0,0088","0,142","29,129,052","13,49",17,90,0,19,125,30,505,3707,25,359,4,0,228,20826,44,14,0,117,0,143,96,218,360,364,1561,14,1046,17,13,0,0,364,532,53,40,0,26045,7358
L001004.spe,"250,81","5,76",1,"0,018133","-0,0033","0,009","0,142","31,635,888","14,7",0,58,0,0,86,13,524,4004,0,537,15,59,259,22644,68,29,0,128,64,99,146,279,422,543,1875,143,1373,7,7,0,0,420,510,67,40,113,26619,7581
L001005.spe,"251,01","5,76",1,"0,018136","-0,0032","0,0092","0,142","33,596,019","16,04",12,93,0,115,112,29,598,4622,0,512,8,12,224,26519,0,90,10,181,237,257,67,220,309,443,1596,28,1319,0,0,0,0,349,586,108,50,0,27543,7444
L001006.spe,"251,21","5,76",1,"0,018135","-0,0033","0,0092","0,142","32,205,856","16,15",69,133,6,78,109,50,535,4422,0,520,4,66,356,27631,73,44,0,212,224,111,240,197,281,596,1272,129,1284,0,0,0,0,418,605,0,0,0,27599,7391
L001007.spe,"251,41","5,76",1,"0,018133","-0,0034","0,0091","0,142","30,313,096","13,94",24,130,0,32,130,23,500,3318,0,470,29,42,290,24681,105,15,0,165,67,138,142,146,379,488,1130,79,1211,10,0,0,0,416,533,10,0,0,27899,7146
L001008.spe,"251,61","5,76",1,"0,018134","-0,0036","0,0092","0,142","30,739,448","15,08",55,97,0,52,126,33,390,2860,9,421,13,89,327,23229,36,0,0,76,14,238,300,192,280,477,1054,131,943,0,8,0,0,392,514,0,72,0,28225,7198
L001009.spe,"251,81","5,76",1,"0,018135","-0,004","0,0091","0,142","31,008,553","13,83",24,89,0,5,117,47,477,3402,0,494,39,53,284,24384,67,0,0,125,54,217,196,159,213,675,1112,138,1100,6,17,0,0,419,525,0,101,0,27600,7413
L001010.spe,"252,01","5,76",1,"0,018137","-0,0041","0,0094","0,142","30,686,076","15,69",41,139,0,0,116,13,510,3845,0,467,0,31,274,26967,85,28,0,227,65,99,133,163,358,393,1420,72,1023,12,33,0,0,425,512,35,86,94,27811,7469
L001011.spe,"252,21","5,76",1,"0,018136","-0,0042","0,0092","0,142","32,237,975","14,36",33,135,16,0,109,61,557,3820,0,539,0,11,277,27463,41,19,0,108,54,151,260,60,290,465,1256,334,1156,16,44,0,0,414,466,0,119,0,27851,7578
L001012.spe,"252,41","5,76",1,"0,018142","-0,0041","0,0092","0,142","31,037,554","15,68",28,128,11,22,107,29,524,3843,0,495,27,42,305,24980,151,56,17,181,157,151,178,208,280,483,1464,67,1032,0,18,0,0,419,576,62,63,0,28160,7552
L001013.spe,"252,61","5,76",1,"0,018135","-0,0041","0,0092","0,142","30,319,471","16,23",14,68,16,110,120,4,611,4097,25,442,4,71,337,22859,0,18,0,92,79,112,111,215,413,438,1601,134,981,0,0,0,0,344,570,15,79,0,27197,7603
L001014.spe,"252,81","5,76",1,"0,018134","-0,0041","0,0091","0,142","3,187,038","16,02",37,62,0,52,152,19,483,4525,0,389,34,72,340,20484,6,24,0,176,35,201,225,227,540,322,1556,155,1156,0,0,0,0,376,589,52,0,0,27933,7647
L001015.spe,"253,01","5,76",1,"0,018133","-0,004","0,0091","0,142","32,685,701","15,56",62,85,0,91,168,27,390,4303,0,331,0,0,194,17602,0,0,0,152,14,137,186,198,525,388,1644,79,1113,0,0,0,0,463,549,0,0,0,27941,7314
L001016.spe,"253,21","5,76",1,"0,018133","-0,0039","0,0094","0,142","31,640,513","15,33",17,59,41,0,118,9,420,4323,0,345,0,41,270,16974,0,0,0,55,158,102,367,112,421,469,1658,194,1227,0,41,0,0,413,550,0,16,0,28352,7321
L001017.spe,"253,41","5,76",1,"0,018134","-0,0039","0,0091","0,142","31,028,176","13,66",37,85,14,15,107,23,422,4703,0,365,0,8,253,18249,0,5,5,143,136,140,156,242,518,447,1828,49,1141,0,18,0,0,351,541,66,35,0,27896,7260
L001018.spe,"253,61","5,76",1,"0,018133","-0,004","0,0089","0,142","32,297,347","14,3",22,92,0,0,118,0,409,4796,0,294,0,47,235,18307,123,8,0,158,99,107,228,107,554,354,1667,0,922,16,0,0,11,442,532,0,145,0,27658,7076
L001019.spe,"253,81","5,75",1,"0,018136","-0,0041","0,0089","0,145","30,336,473","14,06",43,85,0,0,92,17,409,4659,0,379,0,30,253,18223,8,0,0,83,65,136,272,157,501,226,1518,190,1142,13,23,0,0,374,519,15,84,0,27951,7340
L001020.spe,"254,01","5,75",1,"0,018137","-0,0042","0,0085","0,145","29,555,772","12,86",47,100,7,0,130,51,459,4383,0,419,5,0,202,17750,48,28,0,76,80,93,325,289,392,430,1414,35,1062,16,28,0,0,329,517,0,109,0,27814,7155
L001021.spe,"254,21","5,75",1,"0,018132","-0,0045","0,0085","0,145","30,763,071","13,74",36,147,12,21,113,39,460,3983,39,407,0,16,221,18152,83,0,0,162,26,182,130,104,534,354,1473,17,988,15,0,0,0,387,506,0,18,0,27704,7041
L001022.spe,"254,41","5,75",1,"0,018141","-0,0045","0,0085","0,145","29,713,884","13,99",74,123,4,0,152,46,433,4082,0,442,6,22,240,20490,19,28,0,53,71,171,274,181,439,205,1481,64,958,22,40,0,0,372,586,0,26,0,27728,6882
L001023.spe,"254,61","5,75",1,"0,018135","-0,0046","0,0084","0,145","29,321,534","15,32",17,102,0,85,119,0,479,4310,0,449,0,57,288,21066,14,0,0,59,50,126,324,96,371,282,1459,19,971,0,0,0,0,366,576,0,0,0,26597,6875
L001024.spe,"254,81","5,75",1,"0,018141","-0,0047","0,0084","0,145","29,366,406","13,26",54,123,16,71,141,19,459,4721,17,464,47,74,302,21283,92,64,0,172,111,147,304,55,443,293,1489,42,1041,5,0,0,0,398,513,0,0,0,25955,6922
L001025.spe,"255,01","5,75",1,"0,018135","-0,0048","0,0083","0,145","28,538,458","13,27",12,120,0,45,142,42,457,4905,12,376,0,36,266,19621,101,46,77,197,180,221,99,222,467,466,1732,36,1106,4,5,0,13,293,504,38,49,15,25746,6882
L001026.spe,"255,21","5,75",1,"0,018134","-0,0045","0,0085","0,145","2,833,747","12,8",70,66,0,76,102,20,455,5213,0,340,0,0,215,18973,160,57,39,61,162,98,180,163,360,376,1751,104,1140,0,0,0,0,247,496,0,0,0,25294,6907
L001027.spe,"255,41","5,75",1,"0,01814","-0,0044","0,0085","0,145","28,998,307","16,05",43,109,20,0,117,39,498,5552,9,523,20,24,255,19887,77,33,0,86,0,54,0,146,548,389,2051,76,987,0,37,0,0,381,525,149,0,0,25916,7230
L001028.spe,"255,61","5,75",1,"0,018137","-0,0043","0,0085","0,145","29,399,904","14,06",46,102,15,154,141,39,565,5612,0,488,0,16,235,21503,0,95,0,171,148,121,187,145,398,367,2073,188,1177,0,0,0,0,332,559,13,0,0,26174,7125
L001029.spe,"255,81","5,75",1,"0,018136","-0,0042","0,0084","0,147","29,120,302","12,95",35,118,8,22,160,67,532,5577,11,331,15,43,315,21263,131,69,60,158,99,267,290,236,370,415,2060,293,1125,9,7,0,42,316,529,0,100,0,26305,7307
L001030.spe,"256,01","5,75",1,"0,018135","-0,0041","0,0082","0,147","29,108,797","12,58",36,114,14,23,164,73,510,5673,10,435,0,46,244,20352,14,45,0,178,93,87,188,178,504,382,2209,220,1075,32,34,0,0,329,551,0,38,0,25508,6615
L001031.spe,"256,21","5,75",1,"0,018134","-0,004","0,0082","0,147","28,905,438","12,7",27,96,16,0,162,48,523,5256,16,435,26,97,308,20134,57,0,12,34,121,48,211,160,523,463,2036,30,1138,25,23,0,0,283,574,0,0,0,25364,6850
L001032.spe,"256,41","5,75",1,"0,018135","-0,0039","0,0081","0,147","30,732,817","14,98",16,90,15,0,148,42,541,5025,0,401,16,41,303,20893,119,56,0,66,103,108,215,157,372,226,2002,22,933,25,14,0,0,349,451,0,0,0,25529,7104
L001033.spe,"256,61","5,74",1,"0,018136","-0,0038","0,0081","0,147","29,634,889","13,1",48,129,65,64,184,79,582,5201,0,379,0,18,229,20797,30,25,13,217,21,299,153,208,485,405,2038,103,893,11,16,0,0,408,503,82,55,36,25628,6720
L001034.spe,"256,81","5,74",1,"0,018135","-0,0037","0,0083","0,147","28,964,431","14,16",11,148,0,7,151,42,534,5039,15,373,17,80,298,19654,0,114,0,170,99,179,203,181,407,400,1923,119,1093,0,16,0,0,411,463,0,106,0,26376,7116
L001035.spe,"257,01","5,74",1,"0,018136","-0,0036","0,0081","0,147","28,776,068","14,28",22,89,13,32,144,19,539,5595,0,401,27,40,236,18174,18,56,0,169,64,101,265,182,408,468,2165,9,963,5,8,0,0,396,568,0,59,0,25548,6864
L001036.spe,"257,21","5,74",1,"0,018134","-0,0035","0,0082","0,147","28,561,584","15,23",7,75,0,37,124,10,482,5729,46,395,0,62,330,17197,23,54,65,148,81,63,351,117,377,380,2169,100,942,0,0,0,0,253,510,0,0,0,25796,7153
L001037.spe,"257,41","5,74",1,"0,018133","-0,0036","0,0086","0,147","29,405,778","12,36",44,105,13,69,145,26,478,5669,0,340,52,52,265,17308,12,70,0,241,0,189,193,116,519,464,2496,0,975,0,0,0,0,429,477,0,48,46,26503,7169
